WORD                          COUNT 
-----------------------------------
a                              3261 
ab                                3 
abide                             1 
able                              2 
abner                             5 
aboard                           21 
abolitionist                      1 
about                           429 
above                            19 
abram                             2 
abreast                           5 
abroad                            1 
absent                            2 
abuse                             1 
abused                            1 
abusing                           1 
accept                            1 
accepted                          2 
accepting                         1 
access                           10 
accessed                          1 
accessible                        1 
accident                          1 
accidents                         2 
accordance                        2 
according                         6 
account                          16 
accounts                          7 
ache                              4 
acknowledge                       3 
acknowledging                     1 
acquainted                        2 
acquit                            1 
acre                              1 
across                           36 
acrost                            4 
act                               6 
acted                             7 
actin                             1 
acting                            5 
action                            1 
actions                           1 
active                            2 
actor                             1 
acts                              2 
actual                            1 
actuly                            4 
adage                             1 
adam                              1 
add                               1 
addition                          1 
additional                        3 
additions                         1 
addled                            1 
addling                           1 
address                           1 
addresses                         1 
admirable                         1 
admission                         2 
admitted                          1 
adolphus                          2 
adopt                             1 
advance                           2 
advantage                         4 
adventure                         3 
adventures                       11 
advertise                         2 
advertisements                    1 
advice                            2 
advise                            1 
advises                           3 
afeard                           11 
afeared                           2 
affairs                           1 
afflicted                         1 
afford                            3 
afforded                          1 
affront                           1 
afire                             4 
afoot                             1 
afraid                           17 
african                           1 
aft                               2 
after                           142 
afternoon                         8 
afterwards                        6 
again                           186 
against                          25 
age                               1 
aged                              1 
agent                             1 
aggravate                         1 
aggravating                       1 
agin                             26 
ago                              21 
agoing                            1 
agree                             9 
agreed                            5 
agreement                        19 
aground                           4 
agwyne                            2 
ah                                2 
ahead                            22 
aholt                             1 
aimed                             3 
aiming                            1 
ain                             305 
air                              17 
airs                              2 
airy                              1 
alarm                             3 
alas                             10 
alassin                           1 
alike                             4 
alive                            13 
all                             860 
alleys                            1 
allow                             3 
allowances                        2 
allowed                          32 
allycumpain                       1 
almost                            3 
aloft                             1 
alone                            21 
along                           234 
alongside                         5 
already                           9 
also                              4 
alter                             1 
alteration                        1 
alternate                         1 
altogether                        3 
aluz                              1 
always                           94 
alwuz                             1 
am                               22 
amaz                              2 
amazing                           2 
ambuscade                         2 
ambush                            1 
amen                              2 
america                           1 
amighty                           1 
ammunition                        2 
among                             3 
amongst                          37 
amost                             1 
amount                            7 
amounted                          1 
amputate                          1 
amusing                           1 
an                              151 
ancesters                         1 
ancestors                         1 
and                            6439 
andy                              1 
anear                             1 
angel                             2 
angelina                          1 
angels                            1 
animal                            1 
animals                           2 
ankle                             3 
ankles                            1 
ann                               2 
another                         103 
answer                           31 
answered                          1 
answering                         1 
answers                           1 
antonette                         1 
anxiety                           1 
anxious                           4 
any                             196 
anybody                          71 
anyhow                            3 
anyone                            5 
anything                         87 
anyway                           46 
anyways                           4 
anywhere                          5 
anywheres                         6 
